106 LONCHERA MEDIANA
BOLSA BASURA 24' X 6UD
BOLSA BASURA 26' X 6UD
BOLSA BASURA 28' X 6UD
BOLSA BASURA 32´ VERDE XKG
BOLSA BASURA 32´ X 6UD
BOLSA BASURA 39' X 6UD
BOLSA BASURA COLOR PEQUELA #16 X6UD
BOLSA CAFE 1/2
BOLSA CAFE 1/4
BOLSA CAFE LIBRA
BOLSA CONO HELADO X100UD
BOLSA DOMICILIO #35X50UD
BOLSA DOMICILIO #60X50UD
BOLSA HAMBURGUESA EN L  OXXOBIO X100UD
BOLSA HAMBURGUESA RECTANGULAR BLANCA OXXOBIO X100UD
BOLSA HAMBURGUESA RECTANGULAR OXXOBIO X100UD
BOLSA KRAF DOMICILIO PEQUEÑA
BOLSA LECHOSA 10X16 PRECORTE XKILO
BOLSA LECHOSA 12X16 PRECORTE XKILO
BOLSA LECHOSA 12X18 X100UD
BOLSA LECHOSA 4X8 X100UD
BOLSA LECHOSA 5X9 X100UD
BOLSA LECHOSA 7X10
BOLSA LECHOSA 8X12 X100UD
BOLSA LECHOSA 9X14 X100UD
BOLSA OBLEA EN L OXXO X100UD
BOLSA OBLEA X100UD
BOLSA ORGANZA 10X12
BOLSA ORGANZA 12X15
BOLSA ORGANZA 14X20
BOLSA ORGANZA 17X26
BOLSA ORGANZA 7X9
BOLSA PAPEL 1 LB X 100
BOLSA PAPEL 1 LB X 100 BLANCA
BOLSA PAPEL 1/2 LB
BOLSA PAPEL 12 LB X100
BOLSA PAPEL 2 LB X 100
BOLSA PAPEL 2 LB X 100 BLANCA
BOLSA PAPEL 3 LB X 100
BOLSA PAPEL 4 LB X 100
BOLSA PAPEL 6 LB X100
BOLSA PAPEL MANIJA DECORADO GRANDEXUD
BOLSA PAPEL MANIJA DECORADO PEQUEXUD
BOLSA PAPEL TIPO CUBIERTO X100UD
BOLSA PAPITAS OXXOBIO X100UD 
BOLSA PLAST 10K BLANCA
BOLSA PLAST 10K NAVIDAD
BOLSA PLAST 10K NEGRA
BOLSA PLAST 15K BLANCA
BOLSA PLAST 15K NEGRA
BOLSA PLAST 1K BLANCA
BOLSA PLAST 1K NEGRA
BOLSA PLAST 20K BLANCA
BOLSA PLAST 20K NEGRA
BOLSA PLAST 25K BLANCA
BOLSA PLAST 25K NEGRA
BOLSA PLAST 2K BLANCA
BOLSA PLAST 2K NEGRA
BOLSA PLAST 30K BLANCA
BOLSA PLAST 30K NEGRA
BOLSA PLAST 3K BLANCA
BOLSA PLAST 3K NEGRA
BOLSA PLAST 5K NAVIDAD
BOLSA PLAST 5K NEGRA
BOLSA PLAST DECORADA 12X18 X50UD
BOLSA PLAST DECORADA 14X20 X50UD
BOLSA PLAST DECORADA 3.5X6 X 50UD
BOLSA PLAST DECORADA 5X9 X 50UD
BOLSA PLAST DECORADA 6X9 X50UD
BOLSA PLAST DECORADA 7X10 X50UD
BOLSA PLAST DECORADA 9X14 X50UD
BOLSA PLAST IMPRESA 5K BLANCA 
BOLSA PORTA PERRO OXXOBIO X100UD
BOLSA PORTA PIZZA OXXOBIO X100UD
BOLSA TELA 18X23
BOLSA TELA 23X30
BOLSA TELA 30X40
BOLSA TELA 30X40 MANIJA
BOLSA TELA 35X45 MANIJA
BOLSA TELA 40X40 MANIJA
BOLSA TELA MANIJA NAVIDAD 40X40
BOLSA TELA NAVIDAD TROQUEL 35X45
BOLSA TELA TULA NAVIDAD 35X45
BOLSA TINA DE PRIMERA XKILO
BOLSA TIP CINTA 4X8 X 100UD
BOLSA TIP CINTA 6X6 X 100UD
BOLSA TIP CINTA ESTUCHE 11X21 X 100UD
BOLSA TIPO CINT 5X10 X100UD
BOLSA TIPO CINT 8X14 X100UD
BOLSA TIPO CINTA 10X16 X100UD
BOLSA TIPO CINTA 12X16 X100UD
BOLSA TIPO CINTA 2X3 X100UD
BOLSA TIPO CINTA 2X4 X100UD
BOLSA TIPO CINTA 3X4 X100UD
BOLSA TIPO CINTA 3X6 X100UD
BOLSA TIPO CINTA 3X8 X100UD
BOLSA TIPO CINTA 4X6 X100UD
BOLSA TIPO CINTA 5X20 X100UD
BOLSA TIPO CINTA 5X6 X100UD
BOLSA TIPO CINTA 6X8 X100
BOLSA TIPO CINTA 9X12 X100UD
BOLSA TIPO CINTA ESTUCHE 2,5X4 X100UD
BOLSA TORNASOL 10X15
BOLSA TORNASOL 12X20
BOLSA TORNASOL 14X20
BOLSA TORNASOL 7X10
BOLSA TORNASOL 8X13
BOLSA TRANSP DECORADA 10X20 X 100UD
BOLSA TRANSP DECORADA 12X20  X100UD
BOLSA TRANSP DECORADA 14X25 X100UD
BOLSA TRANSP DECORADA 18X25 X100UD
BOLSA TRANSP DECORADA 4X20 100UD MANI
BOLSA TRANSP DECORADA 5X15 X100UD
BOLSA TRANSP DECORADA 5X20 X 100UD
BOLSA TRANSP DECORADA 6X15 X100UD
BOLSA TRANSP DECORADA 7X15 X100UD
BOLSA TRANSP DECORADA 7X20 X100UD
BOLSA TRANSP DECORADA 8X20 X100UD
BOLSA TRANSPARENTE 14X20 X100UD
BOLSA TRANSPARENTE 16X24 X100UD
BOLSA TRANSPARENTE 2X10 100UD
BOLSA TRANSPARENTE 3X10 - 100UD
BOLSA TRANSPARENTE 3X12 X 100UD
BOLSA TRANSPARENTE 4X12 X100UD
BOLSA TRANSPARENTE 4X8 X100UD
BOLSA TRANSPARENTE 5X12
BOLSA TRANSPARENTE 5X9
BOLSA TRANSPARENTE 6X12 X100UD
BOLSA TRANSPARENTE 7X12 X 100UD
BOLSA TRANSPARENTE 7X14 X100UD
BOLSA TRANSPARENTE 8X12
BOLSA TRANSPARENTE 8X14 X100UD
BOLSA TRANSPARENTE 8X16 X100UD
BOLSA TRANSPARENTE 9X14 X100UD
BOLSA TRANSPARENTE GRUESO 16X24 X100UD
BOLSA TRASPARENTE 10X16 X100UD
BOLSA TRASPARENTE 12X16 X100UD
BOLSA TRASPARENTE 6X14 X100UD
BOLSA VENTANA 10X15
BOLSA VENTANA 15X22
BOLSA VENTANA 18X26
BOLSAS TRANSPARENTE 6X11
BOWL 26OZ X50UD
CAJA 25X25 CM XUD
CAJA 5X8 XUD
CAJA 7X9 XUD
CAJA ANILLO XUD
CAJA BLANCA 18X10CM XUD
CAJA BLANCA 20X13CM XUD
CAJA DONA VISOR INDIVIDUAL
CAJA DONA VISOR INDIVIDUAL
CAJA MALETIN 17X17
CAJA MALETIN 22X22
CAJA MALETIN 27X27
CAJA MALETIN DECORADA  XUD
CAJA MEDIO BRAZO 
CAJA MUFFINS INDIVIDUAL
CAJA PARA ALIMENTOS 49OZ XUD
CAJA PARA ALIMENTOS 66OZ XUD
CAJA PIRAMIDE XUD
CAJA PIZZA 22X22XUD XMAYOR
CAJA PIZZA 24X24XUD XMAYOR
CAJA PIZZA 30X30XUD XMAYOR
CAJA PIZZA 35X35 XMAYOR
CAJA PIZZA 40X40 XMAYOR
CAJA PIZZA 50X50XUD XMAYOR
CAJA PULSERA XUD
CAJA RELOJ X UD
CAJA TAPABOCAS CIVIL X50UD INDIVIDUAL
CAJA TAPABOCAS NEGRO EMPAQ INDIV X50UD
CAJA TAPABOCAS NIÑO DECORADO X50UD
CAJA TORTA 17X17 XUD
CAJA TORTA 22X22 XUD
CAJA TORTA 24X24 XUD
CAJA TORTA 27X27XUD
CAJA TORTA 30X30XUD
CAJA TORTA 32X32X XUD
CAJA TORTA 42X42X XUD
CAJA TORTA CARTULINA 42X42XMAYOR
CAJA TORTA CARTULINA KRAF 13X13 XMAYOR
CAJA TORTA CARTULINA KRAF 17X17 XMAYOR
CAJA TORTA CARTULINA KRAF 22X22 XMAYOR
CAJA TORTA CARTULINA KRAF 27X27 XMAYOR
CAJA TORTA CARTULINA KRAF 30X30 XMAYOR
CAJA TORTA CARTULINA KRAF 32X32 XMAYOR
CAJA TORTA CARTULINA KRAF24X24 XMAYOR
CAJA TORTA CARTULINA KRAF38X38 XMAYOR
CAJA TORTA CARTULINA SIN IMPRESION 40X40 XMAYOR
CAJA WOK #2 XUD
CAPACILLO NUM 1X500UD
CAPACILLO NUM 2X500UD
CAPACILLO NUM 3 X100UD
CAPACILLO NUM 4 X400UD
CAPACILLOS NUM 5 X500UD
CAPACILLOS NUM 6 X500UD
CEPILLO BAÑO ELEPHANT XUD
CEPILLO BAÑO LOLA XUD
CEPILLO MANO XUD
CHUPA PLASTICA XUD
CINTA AMARRE DECORATIVA X100UD
CINTA X100MTS XUD
CINTA X300MTS XUD
CINTA X50MTS XUD
COGE OLLA
COMBO UNIVERSITARIO
CONO CARTON GRANDE XUD
CONO CARTON MEDIANO XUD
CONO PORTA CREPES BLANCO XUD
CONT DELI PRO TOGO 16OZ 25UD
CONT DELI PRO TOGO 24OZ 25UD
CONT DELI PRO TOGO 32OZ 25UD
CONT DELI PRO TOGO 6OZ 25UD 
CONT DELI PRO TOGO 8OZ 25UD
CONT DELI PRO TOGO 8OZ 25UD PEQUEÑO
CONT OVALADO DOBLE USO X10UD
CONTE 16OZ TAPA ICOP X20UD DARN
CONTE 16OZ TAPLAST DARN
CONTE 16OZ WAU ICOP X20UD DARN
CONTE DELI FRUTAS 16OZ X20UD
CONTEN 8OZ TAP ICOP X20UD DARN
CONTEN TRIANGULAR N°5 X20UD DARNEL
CONTEN TRIANGULAR N°7 X20UD DARNEL
CONTENE 4 DIVISION NEG+TAP
CONTENE 4 DIVISION TRANSPARENTE + TAP
CONTENED 24OZ ICOP X20UD
CONTENEDOR 12OZ X20UD DARN
CONTENEDOR 12OZ X50PAQ DARN
CONTENEDOR DELIPRO 3OZ X25UD
COPA FLAUTA TRANSPARENTE X20UD
COPA SHOT TRANSPARENTE X20UD
COPA SOUFFLE 1.5 PANDA X100UD DARN
COPA TEQUILA CRISTAL X10UD
COPA VENECIANA + TAP 3OZ X20UD
COPA VENECIANA + TAP 8OZ X20UD
COPA VENECIANA + TAPA 5OZ X20UD
COPA VINO COLOR X20UD
COPA VINO TRANSPARENTE  X20UD
CUCHARA BLANCA PEQUE X20UD DARNEL
CUCHARA CAPUCHINERA X 100UD
CUCHARA GRANDE FRESH 100UD
CUCHARA GRANDE INVERPLAST 100UD
CUCHARA GRANDE MADERA  X20UD
CUCHARA GRANDE MADERA  X20UD
CUCHARA SOPERA X20UD TAMI BLAN
CUCHARITA DULCERA BLANCA X50UD
CUCHARITA INVERPLAST 100UD
CUCHILLO GRANDE MADERA  X20UD
CUCHILLO GRANDE MADERA  X20UD
CUCHILLO GRANDE X100UD INVERPLASC
CUCHILLO X20UD TAMI BLAN
CUPCAKES & MUFFINS X 1 BASE 6CM X20UD
CUPCAKES & MUFFINS X6
DELANTAL PLASTICO X12UD
DISPENSADOR PARA PAPEL INSTITUCIONAL
DOMO CANOA X10UD
DOMO DE BANDEJA ICOPOR 1 #3 X100UD
DOMO DE BANDEJA ICOPOR N°1 X20UD
ENCENDEDOR ELECTRICO SOL LINTERNA
ENVASE 1 LITRO X UD POR MAYOR
ENVASE 1.75 LITRO X UD POR MAYOR
ENVASE 2 LITRO X UD POR MAYOR
ENVASE 4 LITRO X UD POR MAYOR
ENVASE 500ML LITRO X UD POR MAYOR
ENVASE PERSONAL 250ML XUD POR MAYOR
ESCOBA CARRO XUD
ESCOBA DANA XUD
ESCOBA MAXI DALIA XUD
ESCOBA W IMPERIAL XUD
ESCOBA W SUPREMA COLOR XUD
ESCOBA ZULIA SUAVE O DURA  XUD
ESCOBA ZULTANA XUD
ESPONJA ACERADA DETEL
ESPONJA MATRIX X14UD NIXA
ESPONJA METALIZADA PINTO X1UD
FOSFOROS X20UD
GORRO MALLA NEGRA  X 10 UD
GORRO ORUGA  X 10 UD
GUANTE NITRILO DE COLORES
GUANTE NITRILO NEGRO GRUESO HD LAR
GUANTE QUIRURGICO BLANCO
GUANTES LATEX ETERNA
GUANTES MANIPUL ECONO X100UD
GUANTES NITRILO AZUL HD GRUESO
GUANTES NITRILO NEGRO RINO
GUANTES VINILO DURA GLOVE
JABON REY XUD
KRAF CORDON#4
KRAF CORDON#5
KRAF CORDON#6
KRAF DECO#2
KRAF DECO#3
KRAF DECO#5
KRAF DECO#6
LAVALOZA LIQUID LIMPIA YA 500ML
LIMPION ESTAMPADO GRANDE
LIMPION ESTAMPADO MEDIANO
LIMPION MEDIANO
LIMPION MICROFIBRA GRANDE
LIMPION MICROFIBRA MEDIANO
LIMPION PEQUEÑO
LIMPION TELA DISEÑO XUD
LIMPION TELA XUD
MEZCLADOR COCTEL X20UD
MEZCLADOR DARNEL ROJO X1.000UD
MEZCLADOR PLAST X 300UD
MEZCLADOR REDONDOX1000UD EL SOL
MINI CUCHARA MADERA X50UD
MINI CUCHARA MADERA X50UD
MINI PACK CUADRADO TAPA SEPARADA S X10UD
MINI PACK TAPA SEPARADA M X10UD
MINI PACK TAPA SEPARADA S X10UD
MINI VELA  X10
MOLDE 021 JUNIOR X20 UD
MOLDE 030 X1UD
MOLDE 031 LASAGNA X 20
MOLDE 041 LASAGNA MEDIO X20UD
MOLDE 045 X1UD
MOLDE 050 X1UD
MOLDE 051 X 20UD
MOLDE 060 X1UD
MOLDE CAPACILLO ALUMINIO X10UD
MOLDE CAPACILLO ALUMINIO X6 XUD
MOLDE HELADO L X12UD
MOLDE HELADO S X12UD
MOLDE LECHE ASADA X10UD
MOLDE PARA CHOCOLATES PLASTICO XUD
MOLDE PROTECTOR DE ESTUFA XUD
MOLDE SILICONA CHOCOLATINA GRANDEXUD
MOLDE SILICONA CHOCOLATINA XUD
MOLDE TORTA MED X1UD
MOLDE TORTA PEQ X1UD
MUESTRA COPROLOGICO X UD POR MAYOR
NEVERA 10 LITROS XUD
NEVERA 15 LITROS XUD
NEVERA 20 LITROS XUD
NEVERA 3 LITROS XUD
NEVERA 30 LITROS XUD
NEVERA 40 LITROS XUD
NEVERA 5 LITROS XUD
NEVERA INSULINA XUD
PALILLOS DIENTES EL SOL DOBLEPUN X180UD
PALILLOS DIENTES EL SOL DOBLEPUN X180UD
PALILLOS EXTRALARG EL SOL 125UD
PALILLOS EXTRALARG EL SOL 125UD
PALILLOS INDIVI EL SOL X500UD
PALILLOS INDIVI EL SOL X500UD
PALO BAJALEGUA 100UD
PALO BANDERIN X100UD
PALO BANDERIN X100UD
PALO BOM BOM BUM XPAQUT
PALO HELADO 100UD
PALO HELADO 100UD
PALO MEZCLADOR LARGO X 500UD
PALO MEZCLADOR MEDIANO X 500UD
PALO MEZCLADOR MEDIANO X 500UD
PALO MEZCLADOR MEDIANO X 500UD
PALO MEZCLADOR X1000UD
PALO PALETA 100UD
PALO PALETA 100UD
PALO PINCHO 20CM SOL
PALO PINCHO 20CM SOL
PALO PINCHO 25CM BAMBU GRUESO X100UD
PALO PINCHO 25CM EL SOL
PALO PINCHO 25CM EL SOL
PALO PINCHO 30CM GRUESO X100UD
PALO PINCHO 30CM GRUESO X100UD
PALO PINCHO 30CM X100UD
PALO PINCHO 30CM X100UD
PALO PINCHO BAMBU 30CM X100UD
PANELA X200SOBRES
PANELA X50SOBRES
PAPEL ALUMINIO 100MTS 
"PAPEL ALUMINIO 12"" X 7MTS"
"PAPEL ALUMINIO 12""X 16MTS"
PAPEL ALUMINIO 300MTS 
PAPEL ALUMINIO 40MTS REPUESTO FOIL
PAPEL HGIENICO ROLLAZO DUO
PAPEL HIG 3H MEGA NUBE
PAPEL HIGI INSTIT COLTISU X4UD
PAPEL HIGI INSTIT NIEVE SENCI X4UD
PAPEL PARAFINADO 30X30CM O 30X40- 100UD
PAPEL PARAFINADO OXXOBIO 30X30CM - 100UD
PAPEL PARAFINADO OXXOBIO 30X40CM - 100UD
PAPEL PARAFINADO ROLLO X100MTS
PAPEL PARAFINADO ROLLO X200MTS
PAPEL PARAFINADO ROLLO X20MTS
PAPEL PARAFINADO ROLLO X300MTS BLANCO
PAPEL PARAFINADO ROLLO X50MTS
PAPEL PERIODICO X LIBRA
PAQUETE BASE HELADO SAN JERONIMO UD
PASTAS HIPOCLORITO X5UD
PISTOLA PARA ATOMIZADOR PET
PITILLO BARVAL DELGADO X100UD
PITILLO BARVAL GRUESO X100UD
PITILLO CHOLAO X 200UD
PITILLO COLOR CARTON X100UD
PITILLO CUCHARA X 200UD
PITILLO FLEXIBLE X200UD
PITILLO PLAST ENVOLTURA X 200UD
PITILLOS PLAST X 500UD
PLATO 12CM X20UD
PLATO 15.5 CM BIOD-BARVAL
PLATO 15.5 CM BLAN DARN
PLATO 18 CM BIOD-BARVAL
PLATO 18CM BLAN DARN
PLATO 20CM X20UD DARN
PLATO 23CM BIOD-BARVAL
PLATO 23CM BLAN DARN
PLATO 26CM BLAN DARN
PLATO HONDO 12OZ X20UD
PLATO HONDO 16OZ X20UD
PLATO HONDO 25OZ DARN
PLATO HONDO 30OZ X20UD
PLATO HONDO 5OZ X20UD
PORTA AREPA X100UD
PORTA HAMBURGUESA X100UD
PORTA PAPA FRANCESA X100UD
PORTA PERRO AMERICANO X100UD
PORTA PERRO X100UD
PORTA PIZZA X100UD
PORTAC K-1 X 20UD DARN
PORTACOM C-1 X20UD DARNEL
PORTACOM T-1 X20UD DARN
RECOGEDOR BANDA XUD
ROLLO TERMICO 80X60
SELLO PLUS 12 OZ TAPA ALTA X20UD DARN
SELLO PLUS 12OZ X20UD DARN
SELLO PLUS 24OZ X20UD DARN
SELLO PLUS 8 OZ TAPA ALTA X20UD DARN
SELLO PLUS 8 OZ X20UD DARN
SELLO PLUS 8 TAPA MEDIAOZ X20UD DARN
SEPARADOR QUESO X KILO
SERVILLETA ELITE X100UD
SERVILLETA FAMILI DISPENSAD 1A1 X150UD
SERVILLETA FAMILIA 45X100 PLUS  
SERVILLETA FAMILIA PLUS 550 
SERVILLETA NUBE 1A1 X150UD
SERVILLETA NUBE 1A1 X150UD
SERVILLETA NUBE X300UD
SERVILLETA SEDA MAX X330UD
SERVILLETAS FAVORITA 300UD
SERVILLETAS NUBE 300UD
SERVILLETAS RENDIPEL 300UD
SKAP SERVILLETA CAFETERIA X100UD
SOMBRILLA COCTEL X20UD
TANQUE DE 100LITR
TAPA 0.5,1.5, 1OZ CRIST X100UD DARN
TAPA 1,5 2OZ .2,5 CRIST X100UD DARN
TAPA 1.5, 2.0, 3.0 X100UD ACMEL
TAPA 1-1/2 ONZ ACMELEON
TAPA 13 14 16 OZ WAU
TAPA 13,0 DELI FRUTAS 16OZ X50UD
TAPA 13.0 OVALADO X50UD
TAPA 14-22 ONZ ACMELEON
TAPA 3.5 - 7OZ WAU X50UD
TAPA 9-10OZ WAU X50UD
TAPA 9-12ONZ 50UD ACMELEON
TAPA BOWL 26OZ X50UD
TAPA DOMO 14-16 50UD ACMEL
TAPA DOMO 14-16 X 50UD WAU 
TAPA DOMO X12UD
TAPA DOMO X50UD
TAPA MOTITAS 5OZ X50UD
TAPA OPAL 12OZ DARN X50UD
TAPA OPAL 7OZ DARN
TAPA OPAL 9OZ X50UD DARN
TAPA PARA COPA SOUFLLE 1.5, 2 Y 2.5OZ DARN X100UD
TAPA PARA MOLDE ALUMINIO MEDIANO
TAPA PLAST MOLDE LASAGNA 03 X20UD
TAPA PLASTICA MOLDE LECHES ASADA  X10UD
TAPA VASO CART 6OZ  X50UD
TAPA VASO CART 6OZ X25UD
TAPA VASO CART 9OZ  X25UD
TAPA VASO CART 9OZ  X50UD
TENEDOR BLANCO PEQ X20UD
TENEDOR COLOR PEQUE X20UD
TENEDOR GRANDE INVERPLAST X100UD
TENEDOR GRANDE MADERA  X20UD
TENEDOR GRANDE MADERA  X20UD
TENEDOR GRANDE TAMI X20UD
TENEDOR PEQ INVERPLAST 100UD
TENEDOR PEQUEÑO X100UD 
TOALLA COCINA NUBE X150H
TOALLA COCINA NUBE X150H
TOALLA NUBE PACA X12
TOALLAS MANO MIA X 150UD
TOALLAS MANOS COLTISU X150UD
TRAPERO 1000 XUD
TRAPERO 1200 JUMBO XUD
TRAPERO 500 XUD
TRAPERO 800 XUD
VASO 1 OZ X100UD DARNEL
VASO 1.0 ONZ ACMELEON
VASO 1.5 OZ DELI PRO + TAPA X25UD
VASO 1.5 OZ OPAL 50UD ACMELEON
VASO 10 OZ VACAN X50UD 
VASO 10OZ ICOPOR X20UD
VASO 10OZ X50UD WAU
VASO 12 ONZ 50UD ACME
VASO 12 OZ VACAN X50UD 
VASO 12OZ ICOPOR X20UD
VASO 12OZ TAMI X25UD
VASO 12OZ X50UD WAU
VASO 13OZ X25UD WAU
VASO 14OZ X25UD ACMELEON
VASO 14OZ X25UD MIX
VASO 14OZ X25UD VACAN
VASO 14OZ X25UD WAU
VASO 16ONZ CRIST ACMELEON
VASO 16OZ WAU X25UD
VASO 3 OZ ICOP X20UD DARN
VASO 3.3 NEGRO  50UD MIX
VASO 3.5 BLANCO WAU X50UD
VASO 3.5 TRANSPARENTE WAU X50UD
VASO 4 OZ ICOPOR X20UD
VASO 40Z CON TAPA DOMO TROFORMAS X12UD
VASO 40Z CON TAPA PLANA TROFORMAS X12UD
VASO 5 OZ COLERO BLAN 50UD
VASO 5.0 ONZ BLANCO 50UD MIX
VASO 5.0 ONZ NEG 50UD ACMELEON
VASO 5.0 ONZ NEG 50UD MIX
VASO 5.5 OZ TRANSPARENTE MARPLAST X50UD
VASO 5OZ BICO 50UD ACMELEON
VASO 5OZ BLANCO WAU X50UD
VASO 5OZ NEGRO WAU X60PAQ
VASO 6OZ ICOP X20UD
VASO 7 OZ X50UD MARPLAST
VASO 7OZ BLANCO X50UD WAU
VASO 7OZ TAMI X25UD
VASO 7OZ WAU X50UD
VASO 8 OZ ICOPOR X20UD DARN
VASO 9ONZ CRIST ACMELEON
VASO 9OZ TAMI X25UD
VASO 9OZ VACAN X50UD
VASO 9OZ WAU X50UD
VASO CART 12OZ X40UD
VASO CART 4 OZ  X50UD
VASO CART 4 OZ BARVAL  X50UD
VASO CART 4 OZ BARVAL BLANCO  X50UD
VASO CART 5OZ X50UD
VASO CART 5OZ X50UD BLNACO
VASO CART 6 OZ 50UD ECONOMICO
VASO CART 6 OZ 50UD NIXA
VASO CART 6 OZ MANIJA X50UD BARV
VASO CART 7OZ BLANCO X50UD
VASO CART 9OZ X50UD ECONOMICO
VASO CART 9OZ X50UD NIXA
VASO HELADO BLANCO 4OZ X50UD
VASO HELADO BLANCO 8 OZ X50UD
VASO HELADO COLOR 4OZ X50UD
VASO HELADO COLOR 8 OZ X50UD
VASO HELADO COLOR PASTEL 6 OZ X25UD
VASO MOTITAS 5OZ X50UD
VASO MURANO 12OZ  X12UD DARN
VASO RESQ 10OZX12UD
VASO RESQ 12OZX12UD
VASO RESQ 16OZX12UD
VASO RESQ 9OZX12UD
VASO WISKY 3OZ X25UD
VASO WISKY TRANSPARENTE X20UD
VELA  NUMERO MAGICA 
VELA FIESTA ESPIRAL PASTEL X6
VELA LISA METALIZADA X10
VELA X6 MITAD METAL Y ESCARCHADA
VELAS MAGICAS X10
"VINIPEL 20MTS 12""X66 DARN"
VINIPEL 5K ROSADO 1,500MTS
VINIPEL 5K TRANSPARENTE 1,500MTS
"VINIPEL ALIMENT 12"" X50MTS "
"VINIPEL ALIMENT 12""X100MTS"
"VINIPEL ALIMENT 12""X200MTS"
